"","TXA_ITIS","TXA_Level","TXA_Name","TXA_Binomial","TXA_Parent","TXA_Author","TXA_Year","TXA_CAAB","USER","TXA_Time","TXA_Group","TXA_ReleaseDate","TXA_ExpReleaseDate","TXA_Created_At","TXA_Updated_At","TXA_WoRMsID"
"1",-1022,143,NA,NA,-1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-1021,143,NA,NA,-1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-1020,142,"Ocinebrellus",NA,-1019,NA,NA,NA,NA,NA,"Mollusks-Gastropods",NA,NA,NA,NA,NA
"4",-1019,143,NA,NA,-1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",-1018,143,NA,NA,73236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-1017,143,"websteri","Polydora websteri",66789,"Hartman in Loosanoff & Engle","1943",NA,NA,NA,"Annelids-Polychaetes",2099-01-01,NA,NA,NA,NA
"7",-1016,143,"iririkiensis","Hippopodina iririkiensis",-1014,"Tilbrook","1999",NA,NA,NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"8",-1015,143,NA,NA,-1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-1014,142,"Hippopodina",NA,-1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",-1013,140,"Hippopodinidae",NA,-1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",-1012,143,NA,NA,-1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",-1011,137,"Flustrina",NA,155799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",-1010,143,NA,NA,-1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",-1009,143,"dichotoma","Amathia dichotoma",155575,"Verrill and Smith","1874",NA,NA,NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"15",-1008,143,NA,NA,-1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",-1007,142,"Leptosiphonia",NA,13439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",-1006,142,"Ruditapes",NA,81439,"Chiamenti 1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-1005,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-1004,142,NA,NA,-1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",-1003,142,"Limecola",NA,-1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",-1002,143,NA,NA,81032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",-1001,143,NA,NA,53917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",-1000,143,"test","Carcinus test",98733,"stevesb","2020",NA,NA,NA,"Crustaceans-Crabs",2099-01-01,NA,NA,NA,NA
"24",-999,143,"brunnea","Celleporaria brunnea",-998,"Hincks","1884",NA,NA,NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"25",-998,142,NA,"Celleporaria",-997,"Lamouroux","1821",NA,NA,NA,"Bryozoans",2099-01-01,NA,NA,NA,NA
"26",-997,140,"Lepraliellidae",NA,156192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",-996,143,NA,NA,-995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
